2026-07-27T10:42:00 | stream_analysis_stage3 | INFO | merge_at=1: preference=0.4400 (n=100) [OOD INTERVENTION]
2026-07-27T10:42:00 | stream_analysis_stage3 | INFO | Early-merge intervention: merge_at=2 (OOD, eval-time)...
2026-07-27T10:42:03 | stream_analysis_stage3 | INFO | merge_at=2: preference=0.4300 (n=100) [OOD INTERVENTION]
2026-07-27T10:42:03 | stream_analysis_stage3 | INFO | Early-merge intervention: merge_at=3 (OOD, eval-time)...
2026-07-27T10:42:06 | stream_analysis_stage3 | INFO | merge_at=3: preference=0.4500 (n=100) [OOD INTERVENTION]
2026-07-27T10:42:06 | stream_analysis_stage3 | INFO | Computing loop-wise CKA...
2026-07-27T10:42:07 | stream_analysis_stage3 | INFO | CKA: wrote 15 depth-pair rows.
2026-07-27T10:42:07 | stream_analysis_stage3 | INFO | Analyzing demographic token drift...
2026-07-27T10:42:08 | stream_analysis_stage3 | INFO | Token drift: wrote 130 rows.
2026-07-27T10:42:08 | dry_run_stage3 | INFO | Starting Stage 3 Dry Run Analysis...
2026-07-27T10:42:08 | analyze_stage3 | ERROR | Required data not found. Run evaluation first.
2026-07-27T10:42:08 | dry_run_stage3 | INFO | Stage 3 Dry Run Complete!
2026-07-27T10:42:08 | master_dry_run | INFO | === MASTER DRY RUN COMPLETED SUCCESSFULLY ===
