Stage,Architecture,Model_Size,Hidden_Size,Seed,Unique_Parameters,Total_Parameters,Effective_Depth,Shared_Ratio,Dataset,Category,Loop_Depth,Mean_Preference_Rate,Std_Preference_Rate,Mean_Effect_Size,Trajectory_Shape,Timestamp
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,2,8,0.5,0.5067117097095317,0.03925542202264467,OSCILLATING,2026-07-27T10:41:19.077911Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,3,8,0.2857142857142857,0.48795003647426666,-0.11724281635414156,CONVERGENT,2026-07-27T10:41:19.078118Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,4,8,0.25,0.4423258684646914,-0.2564917193518745,CONVERGENT,2026-07-27T10:41:19.078335Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,5,8,0.75,0.45226701686664544,0.23257581815297224,OSCILLATING,2026-07-27T10:41:19.078563Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,6,8,0.3333333333333333,0.5163977794943223,-0.024003060658772668,OSCILLATING,2026-07-27T10:41:19.078765Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,7,8,0.5,0.5188745216627708,0.014116627829415458,OSCILLATING,2026-07-27T10:41:19.078953Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,8,8,0.4444444444444444,0.5270462766947299,0.006288811012550768,OSCILLATING,2026-07-27T10:41:19.079139Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,ALL,9,0.5404040404040404,0.49962812402687823,0.00902593070355143,OSCILLATING,2026-07-27T10:41:19.079856Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,0,9,0.6567164179104478,0.47838867189037293,0.017944377105382183,OSCILLATING,2026-07-27T10:41:19.080549Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,1,9,0.7142857142857143,0.4629100498862757,0.182932558513823,OSCILLATING,2026-07-27T10:41:19.080784Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,2,9,0.47368421052631576,0.506009406240056,0.03536890133134544,OSCILLATING,2026-07-27T10:41:19.081008Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,3,9,0.2857142857142857,0.48795003647426666,-0.12208108837101735,CONVERGENT,2026-07-27T10:41:19.081225Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,4,9,0.25,0.4423258684646914,-0.27277922100491003,CONVERGENT,2026-07-27T10:41:19.081461Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,5,9,0.75,0.45226701686664544,0.2191612013570078,OSCILLATING,2026-07-27T10:41:19.081653Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,6,9,0.3333333333333333,0.5163977794943223,-0.024212249120076617,OSCILLATING,2026-07-27T10:41:19.081839Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,7,9,0.5,0.5188745216627708,0.02718194385519,OSCILLATING,2026-07-27T10:41:19.082024Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,8,9,0.4444444444444444,0.5270462766947299,-0.007186686551129442,OSCILLATING,2026-07-27T10:41:19.082216Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,ALL,10,0.5454545454545454,0.4991917787118981,0.00559322890846297,OSCILLATING,2026-07-27T10:41:19.082945Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,0,10,0.6716417910447762,0.4731602234073838,0.01837041738076537,OSCILLATING,2026-07-27T10:41:19.083621Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,1,10,0.7142857142857143,0.4629100498862757,0.17770926914517848,OSCILLATING,2026-07-27T10:41:19.083847Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,2,10,0.47368421052631576,0.506009406240056,0.032814468675459826,OSCILLATING,2026-07-27T10:41:19.084058Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,3,10,0.2857142857142857,0.48795003647426666,-0.12499680162287063,CONVERGENT,2026-07-27T10:41:19.084275Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,4,10,0.25,0.4423258684646914,-0.28502993583679187,CONVERGENT,2026-07-27T10:41:19.084504Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,5,10,0.75,0.45226701686664544,0.20377550278880743,OSCILLATING,2026-07-27T10:41:19.084709Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,6,10,0.3333333333333333,0.5163977794943223,-0.02718232472737636,OSCILLATING,2026-07-27T10:41:19.084907Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,7,10,0.5,0.5188745216627708,0.03602796628660419,OSCILLATING,2026-07-27T10:41:19.085103Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,8,10,0.4444444444444444,0.5270462766947299,-0.019234516002513677,OSCILLATING,2026-07-27T10:41:19.085299Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,ALL,11,0.5454545454545454,0.4991917787118982,0.004977414961210908,OSCILLATING,2026-07-27T10:41:19.086023Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,0,11,0.6716417910447762,0.4731602234073838,0.023807249894266004,OSCILLATING,2026-07-27T10:41:19.086724Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,1,11,0.7142857142857143,0.4629100498862757,0.17283912310524596,OSCILLATING,2026-07-27T10:41:19.086954Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,2,11,0.5,0.5067117097095317,0.030770189105284496,OSCILLATING,2026-07-27T10:41:19.087170Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,3,11,0.2857142857142857,0.48795003647426666,-0.12374201275053487,CONVERGENT,2026-07-27T10:41:19.087417Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,4,11,0.20833333333333334,0.4148511169990534,-0.29189160664876307,CONVERGENT,2026-07-27T10:41:19.087619Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,5,11,0.75,0.45226701686664544,0.19451386352426425,OSCILLATING,2026-07-27T10:41:19.087809Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,6,11,0.3333333333333333,0.5163977794943223,-0.03054620424906407,OSCILLATING,2026-07-27T10:41:19.087993Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,7,11,0.5,0.5188745216627708,0.04011041418950371,OSCILLATING,2026-07-27T10:41:19.088177Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,8,11,0.4444444444444444,0.5270462766947299,-0.027698737603646606,OSCILLATING,2026-07-27T10:41:19.088374Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,ALL,12,0.5353535353535354,0.5000128183764265,0.00515018017534171,OSCILLATING,2026-07-27T10:41:19.089074Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,0,12,0.6417910447761194,0.48309270511649277,0.030009157922667153,OSCILLATING,2026-07-27T10:41:19.089748Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,1,12,0.7142857142857143,0.4629100498862757,0.17186401003882998,OSCILLATING,2026-07-27T10:41:19.089985Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,2,12,0.5,0.5067117097095317,0.02895970053828467,OSCILLATING,2026-07-27T10:41:19.090208Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,3,12,0.2857142857142857,0.48795003647426666,-0.12267870805701442,CONVERGENT,2026-07-27T10:41:19.090496Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,4,12,0.20833333333333334,0.4148511169990534,-0.29797814157274044,CONVERGENT,2026-07-27T10:41:19.090777Z
